,pct,dataset,metriek,avg,std,avgTijd [s],stdTijd [s]
0,25,Cora,F1,0.7374446085672084,0.004350569121129414,23.89034104347229,0.0
1,50,Cora,NMI,0.5774454427176703,0.00834165418887382,23.861061334609985,0.0
2,75,Citeseer,F1,0.6853621881574992,0.0008372941555265483,37.36486887931824,0.0
3,100,Citeseer,NMI,0.4340944235245604,0.0011050870653530186,36.99575591087341,0.0
