,pct,alg,compaIze,data,nClusters,nComponents,redenCl,gamma,gammaScale,maxNMI,avgNMI,stdNMI,avgPMI,stdPMI,maxF1,avgF1,stdF1,maxCA,avgCA,stdCA,maxARI,avgARI,stdARI
0,3.85,wKSVD,pca,ACM,1000,1000,sweep,3.8407491542525163e-07,1e-05,0.16075908577303208,0.14821496898133135,0.006733106037314588,21.730906870750037,0.3467140004478922,0.3787515539820732,0.23538218928263377,0.06177755789742462,0.2543814771087498,0.17065615024705932,0.03778742933042888,0.004259975804439463,0.0014525591194787563,0.001103771147212551
1,7.69,wKSVD,pca,ACM,1000,1000,sweep,3.840749154252516e-06,0.0001,0.16533672552881004,0.1519294181614366,0.0068821286819164005,21.676846548564054,0.25129179855967604,0.380730217759446,0.2760440802534917,0.060641026720057035,0.25785867331321877,0.19569557042284316,0.03619557935547289,0.0026148343935139063,0.0012710430423337451,0.0007339747872284849
2,11.54,wKSVD,pca,ACM,1000,1000,sweep,3.840749154252516e-05,0.001,0.16402484403490727,0.15131358775370057,0.007310403148416968,21.69025153700119,0.22027405751890058,0.3888689023238579,0.25250702434650496,0.08055502828394616,0.26080480125934674,0.18117340067340065,0.048987547700860695,0.0029052165887780376,0.0010631432325176838,0.0009128783676301838
3,15.38,wKSVD,pca,ACM,1000,1000,sweep,0.0003840749154252516,0.01,0.16207756958001732,0.15055014081305124,0.005991114810493885,22.089075731150682,0.29131478141241557,0.36174898543763917,0.23131914856531152,0.0654176198228658,0.2468861777952687,0.17030571953299226,0.03992305067754565,0.0030276461843859177,0.001109207227296571,0.0007648944101978505
4,19.23,wKSVD,pca,ACM,1000,1000,sweep,0.003840749154252516,0.1,0.15380393921807559,0.147722693569894,0.003253705501645466,24.14408832539921,0.15554823088974376,0.3165901951648303,0.206334645334561,0.05054078816847592,0.21892146573964755,0.15403058725786,0.030673429352074025,0.001516799557811399,0.0007458754915991222,0.0004797508862347807
5,23.08,wKSVD,pca,ACM,1000,1000,sweep,0.03840749154252516,1.0,0.15520101387644725,0.14343694331693588,0.004884317143306704,35.11217963932194,0.21300111079894907,0.3666097340545778,0.23490193319905678,0.051113111397463974,0.24787463378372468,0.1683607066334339,0.03166337030747999,0.004373862591153794,0.0023920427185564405,0.0011106038756217207
6,26.92,wKSVD,pca,ACM,1000,1000,sweep,0.3840749154252516,10.0,0.11588234817716062,0.11460298162970065,0.0008780867446318988,34.70608095929497,0.19159338196864123,0.11371075151116455,0.10665616359870893,0.005036138262270392,0.06895928986838078,0.06391221741221739,0.0037877050256086603,0.003454368582238946,0.0027645080831624484,0.00040071864800246207
7,30.77,wKSVD,pca,ACM,1000,1000,sweep,3.840749154252516,100.0,0.2700274418005086,0.2664354802302126,0.0024968333079420004,23.19164454383219,0.07853096862008628,0.546275224002896,0.5409341450514319,0.0045750852250614074,0.1786077222440859,0.17278256591892954,0.0022638474784499253,0.20794865066800006,0.20193641691995898,0.003671828145170874
8,34.62,wKSVD,pca,ACM,1000,1000,sweep,38.40749154252516,1000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.072977864874392,1.4518389506934107e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
9,38.46,wKSVD,pca,ACM,1000,1000,sweep,384.07491542525156,10000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.07297786487439,1.9491418931274328e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
10,42.31,wKSVD,pca,ACM,1000,1000,sweep,3840.749154252516,100000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.072977864874375,1.215215048694565e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
11,46.15,wKSVD,pca,ACM,1000,1000,sweep,38407.49154252516,1000000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.072977864874385,1.01112003895009e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
12,50.0,wKSVD,pca,ACM,1000,1000,sweep,384074.9154252516,10000000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.07297786487439,8.55606755492907e-15,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
13,53.85,KSVD,pca,ACM,1000,1000,sweep,3.8407491542525163e-07,1e-05,0.15729968457800853,0.15221602983508165,0.003152454280974475,21.68863794029171,0.22718399551362545,0.35966209992361975,0.2945035211304927,0.0515703438012853,0.2440229131138222,0.20641665573483756,0.030074338321045755,0.002344277209020683,0.000717447383522297,0.0006474743731951495
14,57.69,KSVD,pca,ACM,1000,1000,sweep,3.840749154252516e-06,0.0001,0.15724429959617042,0.14865624192444885,0.005961394306877249,21.67315456900429,0.25002621834237965,0.3242463822912728,0.2237573326386698,0.04753777966286942,0.22521032839214658,0.16612903931085748,0.030425123997658912,0.0016804175214990367,0.0005819174973448354,0.0006117885742934698
15,61.54,KSVD,pca,ACM,1000,1000,sweep,3.840749154252516e-05,0.001,0.16290927796229848,0.15184304704326385,0.005298023210243074,21.65792489609546,0.2950645047518256,0.38138280043737943,0.2561197236035474,0.06660376921087675,0.2576815776815777,0.1858043202588657,0.038387573818028146,0.0017098413598633144,0.0007749683518946646,0.0007556938176788522
16,65.38,KSVD,pca,ACM,1000,1000,sweep,0.0003840749154252516,0.01,0.1618452181942902,0.14892809026505274,0.005317361773682434,21.664969261061355,0.29848106705822247,0.3804711847333058,0.24898034993255602,0.073947973789373,0.2559679041497223,0.17853456644365734,0.04401775932330357,0.0024054055095461017,0.0009271081784789567,0.0008195035381618035
17,69.23,KSVD,pca,ACM,1000,1000,sweep,0.003840749154252516,0.1,0.15935159851185413,0.14966427033609483,0.00760744048382708,24.263687419027494,0.16889378277630857,0.3586716510566275,0.24752842468224304,0.0760846111630538,0.24507018234290961,0.1775713629804539,0.04929800060755248,0.004226943655486584,0.0012776934779348717,0.0012076393807521765
18,73.08,KSVD,pca,ACM,1000,1000,sweep,0.03840749154252516,1.0,0.14762507195445113,0.1395344400827365,0.004156010262142141,35.24447569204496,0.25573372541967493,0.28402825329614645,0.22821765062799987,0.029015080143207396,0.19914381914381915,0.16060975556430102,0.01981169468489901,0.005973504878810218,0.0034911142079162905,0.000985873073910507
19,76.92,KSVD,pca,ACM,1000,1000,sweep,0.3840749154252516,10.0,0.11590696481076987,0.11354452422181434,0.0015024993409139826,34.59905684997558,0.1502828987510544,0.11945454402056896,0.10736585947152828,0.008091318604096438,0.07046766364948183,0.0649809348900258,0.004928283394732553,0.003625088085000303,0.0026718519206111293,0.00047049008643242887
20,80.77,KSVD,pca,ACM,1000,1000,sweep,3.840749154252516,100.0,0.2690763427762844,0.26688765316638585,0.001431889471104004,23.202369874078006,0.11395021139923382,0.545958545053227,0.5408598747925939,0.0027404063738287175,0.17445056626874808,0.17172591718046262,0.0018282511178335052,0.20491649227745087,0.2020155324560517,0.0015414858097827556
21,84.62,KSVD,pca,ACM,1000,1000,sweep,38.40749154252516,1000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.07297786487438,1.2858664228228531e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
22,88.46,KSVD,pca,ACM,1000,1000,sweep,384.07491542525156,10000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.07297786487438,1.0539051923921737e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
23,92.31,KSVD,pca,ACM,1000,1000,sweep,3840.749154252516,100000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.07297786487439,1.4862067603866e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
24,96.15,KSVD,pca,ACM,1000,1000,sweep,38407.49154252516,1000000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.072977864874392,1.5526618841059416e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
25,100.0,KSVD,pca,ACM,1000,1000,sweep,384074.9154252516,10000000.0,0.2776005954504372,0.27760059545043714,5.551115123125783e-17,20.07297786487438,1.2858664228228531e-14,0.6400359840047518,0.6400359840047518,0.0,0.22442192487647034,0.22442192487647036,2.7755575615628914e-17,0.25522775410157333,0.25522775410157333,0.0
