,pct,alg,compaIze,data,nClusters,nComponents,redenCl,gamma,gammaScale,maxNMI,avgNMI,stdNMI,avgPMI,stdPMI,maxF1,avgF1,stdF1,maxCA,avgCA,stdCA,maxARI,avgARI,stdARI
0,0.02,wKSVD,pca,PubMed,1000,1000,doc,3.0730140459330704e-08,0.0001,0.2790262420025961,0.13509200115534936,0.10563133371405575,0.1538295464369906,0.031170987114496892,0.5891629598898837,0.5428195590702787,0.04881255967853577,0.3559247918814051,0.3396312740061894,0.0159123639909223,0.25739887090778585,0.10949318509141456,0.1086866205947736
1,0.04,wKSVD,pca,PubMed,doc,3,doc,3.0730140459330704e-08,0.0001,0.17337732135015707,0.17144946925619803,0.0054111121951787335,0.14461579060648916,0.008401251024415347,0.5702799136417774,0.569529017356995,0.0021914687378992936,0.3401136993304107,0.34004360627611896,0.00018454172083772705,0.14861635296496975,0.14817024989907918,0.001038003806580252
2,0.06,wKSVD,pca,PubMed,term,3,doc,3.0730140459330704e-08,0.0001,0.1733598415248088,0.17320831462595215,0.00019242727178863536,0.1482725531804962,0.006502355325071832,0.5702799136417774,0.570241951859785,3.860540771628483e-05,0.3401136993304107,0.3400960880903824,2.5004012268164108e-05,0.14862294884031532,0.14847237125413776,0.00022742064542813212
3,0.08,wKSVD,pca,PubMed,1000,1000,doc,3.0730140459330705e-07,0.001,0.2817525252007951,0.08273905789794307,0.09890308536337622,0.1354157502633015,0.04576782324556523,0.5944087073030097,0.5324479672836877,0.0785713151220101,0.3567681310959902,0.33941200632487944,0.023377705090771816,0.2595761591770601,0.05344237179566291,0.09237040847095165
4,0.09,wKSVD,pca,PubMed,doc,3,doc,3.0730140459330705e-07,0.001,0.17335984152480877,0.17315860108302975,0.00022247822571634323,0.14685101737607711,0.006282369561656898,0.5702799136417774,0.5702341455895045,5.0996932457144285e-05,0.3401136993304107,0.34008965449052975,2.9341757048905843e-05,0.14862294884031532,0.14840112281573273,0.0002496645872966499
5,0.11,wKSVD,pca,PubMed,term,3,doc,3.0730140459330705e-07,0.001,0.17335984152480877,0.1732404634715108,0.00011371247863217266,0.15068487662936053,0.00469067993154106,0.5702799136417774,0.5702403910645122,5.758915196223576e-05,0.3401136993304107,0.3401025381536652,1.7361672469312106e-05,0.1486235305455408,0.14852557722111132,0.00013502129015043838
6,0.13,wKSVD,pca,PubMed,1000,1000,doc,3.0730140459330704e-06,0.01,0.27025392941450077,0.12385066103128764,0.09592263575102726,0.17176071195901293,0.022715570262066977,0.5915851265093337,0.5156415981026337,0.06525870749741397,0.35673160800494375,0.33236706734437144,0.018449196356745672,0.2504829820699928,0.09474026252474409,0.09720771338851433
7,0.15,wKSVD,pca,PubMed,doc,3,doc,3.0730140459330704e-06,0.01,0.17335984152480877,0.17324806770305162,0.00015390177325578058,0.14684988913676897,0.006496030976964372,0.5702799136417774,0.5702413328172633,5.106287281341504e-05,0.3401136993304107,0.34009983403524646,2.1114226316693923e-05,0.148648082483461,0.1485326789746238,0.00015961936206671464
8,0.17,wKSVD,pca,PubMed,term,3,doc,3.0730140459330704e-06,0.01,0.17344084809041174,0.17323235116039468,0.00017916179023807287,0.14849919660782604,0.007637182716716722,0.5702908042265386,0.5702568239813153,4.049919521079788e-05,0.3401136993304107,0.3401011238421102,2.280773546228399e-05,0.148686891586472,0.1484855168996158,0.00019461969069071275
9,0.19,wKSVD,pca,PubMed,1000,1000,doc,3.073014045933071e-05,0.1,0.28365557796514657,0.09424646719094881,0.10849295708825613,0.15268189659420978,0.026390168946559857,0.6130753337533605,0.5138047861356847,0.08277914700353856,0.35669443152150915,0.333681683054005,0.02239884846164468,0.247553772878671,0.07166461708147849,0.10112502204671911
