,pct,alg,data,nClusters,nComponents,redenCl,gamma,avgNMI,stdNMI,avgPMI,stdPMI,avgF1,stdF1,avgCA,stdCA,avgARI
0,0.0,wKSVD,ACM,3,1000,doc,3.840749154252516e-05,0.0015827238205885327,0.0007599463879629664,0.08631497745464616,0.010268272041978454,0.5878269384012886,0.01848236416840545,0.3329321352048625,0.0007953096252101052,0.000280678558466078
1,0.1,wKSVD,ACM,3,3,doc,3.840749154252516e-05,0.0026538652783655208,0.0025685923726607852,0.08443782210348419,0.0013800449415459553,0.5927700421158022,0.002402412527738829,0.3336116139752503,0.00028905846818546476,0.0002039325032483269
2,0.1,wKSVD,ACM,3,18,doc,3.840749154252516e-05,0.0017882404069943104,0.001317504309754922,0.08000171131856057,0.005789820266291011,0.5937227125138476,0.0007528439070564293,0.33362888626524995,9.248346772935212e-05,6.684745419815378e-05
3,0.1,wKSVD,ACM,3,1000,doc,0.0003840749154252516,0.005182623334723168,0.010812490725502494,0.08305323360916442,0.01332320431702964,0.5930749243073713,0.0025691043282461343,0.33354939000393546,9.308808386034751e-05,8.654744178714295e-06
4,0.1,wKSVD,ACM,3,3,doc,0.0003840749154252516,0.0013356324907984585,6.787320247333998e-05,0.06344401635483429,0.007757978032887307,0.5939410860100434,6.0324739256190084e-05,0.3336306790852245,2.6087039686571084e-06,6.070762113992308e-05
5,0.2,wKSVD,ACM,3,18,doc,0.0003840749154252516,0.0013503336376760303,6.411818119699378e-06,0.07982116597027049,0.008839728960970196,0.5939625134601665,2.911639835068147e-06,0.33363087585814866,6.894679332840301e-06,3.871923115707363e-05
6,0.2,wKSVD,ACM,3,1000,doc,0.003840749154252516,0.0013965578182354135,0.0004221456534634929,0.092034280492907,0.02797463457890729,0.5940171307357248,0.00033182950771641905,0.33363043858498403,5.450419749838727e-05,-4.850280138354666e-05
7,0.2,wKSVD,ACM,3,3,doc,0.003840749154252516,0.002860544927939175,0.0016202609226416878,0.08926803327048857,0.0108106732570141,0.5938935681593364,0.00016255791456166693,0.33362919235646504,8.10314241756638e-05,-8.203515696503447e-05
8,0.3,wKSVD,ACM,3,18,doc,0.003840749154252516,0.0012783506125464124,2.7566572424086372e-05,0.10866716328104156,0.016653138498565024,0.5940962338007457,3.8587756055042135e-05,0.3336307665398574,3.0560045695796016e-05,-4.171869439272989e-05
9,0.3,wKSVD,ACM,3,1000,doc,0.03840749154252516,0.0012558426004142492,0.0,0.07350050784843606,0.021622116861275457,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
10,0.3,wKSVD,ACM,3,3,doc,0.03840749154252516,0.0012558426004142492,0.0,0.05297895504702256,0.0029800222363302077,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
11,0.4,wKSVD,ACM,3,18,doc,0.03840749154252516,0.0012558426004142492,0.0,0.04105025059957565,0.006364218969323676,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
12,0.4,wKSVD,ACM,3,1000,doc,0.3840749154252516,0.0012558426004142492,0.0,0.06349663834839896,0.024397866024719526,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
13,0.4,wKSVD,ACM,3,3,doc,0.3840749154252516,0.0012558426004142492,0.0,0.05371641745592455,0.004712888322998393,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
14,0.4,wKSVD,ACM,3,18,doc,0.3840749154252516,0.0012558426004142492,0.0,0.037205416432660114,0.004633672023176612,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
15,0.5,wKSVD,ACM,3,1000,doc,3.840749154252516,0.0012558426004142492,0.0,0.06734534479003018,0.02023760441249634,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
16,0.5,wKSVD,ACM,3,3,doc,3.840749154252516,0.0012558426004142492,0.0,0.05490842635045663,0.0043626033098165765,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
17,0.5,wKSVD,ACM,3,18,doc,3.840749154252516,0.0012558426004142492,0.0,0.03722839706024975,0.005818289609485261,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
18,0.6,wKSVD,ACM,3,1000,doc,38.40749154252516,0.0012558426004142492,0.0,0.06792244962180069,0.01598838210014071,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
19,0.6,wKSVD,ACM,3,3,doc,38.40749154252516,0.0012558426004142492,0.0,0.056696439692254755,0.002989226498956039,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
20,0.6,wKSVD,ACM,3,18,doc,38.40749154252516,0.0012558426004142492,0.0,0.040631262310868596,0.007165354061181169,0.5941277405716303,1.1102230246251565e-16,0.3336306790852245,1.3552527156068805e-20,-6.66708672163424e-05
